term_id,name,slug,description,display_type,parent,thumbnail
15,Accesorii,accesorii-2,,default,0,
488,Digital 3C，Domestic appliance，Domestic appliance，Decoration supplies，Toys，Outdoor sports and travel，Fashion items (clothing and accessories)，,Digital 3C，Domestic appliance，Domestic appliance，Decoration supplies，Toys，Outdoor sports and travel，Fashion items (clothing and accessories)，,,default,0,
489,Domestic appliance,Domestic appliance,,default,0,
490,Decoration supplies,Decoration supplies,,default,0,
491,Toys,Toys,,default,0,
492,Outdoor sports and travel,Outdoor sports and travel,,default,0,
493,Fashion items(clothing and accessories),Fashion items(clothing and accessories),,default,0,
